treeid,year,wpbr,mean_length,mean_num,dbh,plot,drought,pern,n,perc,delta_c,mortality,pair,drought2,Rust,dbhclass
DC9,2013,yes,6.266666666666667,11.333333333333334,15,DC,Yes,0.77,-8.35,49.92,-28.490000000000002,0,4,Drought,Yes,Sapling
DC9,2012,yes,6.933333333333334,6.333333333333333,15,DC,Yes,0.75,-8.28,49.47,-30.490000000000002,0,4,Drought,Yes,Sapling
DC10,2017,yes,6.3,11,8.6,DC,No,1.26,-7.05,49.71,-26.33,1,5,NoDrought,Yes,Sapling
DC10,2016,yes,5.866666666666667,13.333333333333334,8.6,DC,No,1.21,-7.41,50.51,-27.049999999999997,1,5,NoDrought,Yes,Sapling
DC10,2015,yes,5.266666666666667,8.666666666666666,8.6,DC,Yes,1.14,-7.83,50.53,-26.17,1,5,Drought,Yes,Sapling
DC10,2014,yes,5.066666666666667,11,8.6,DC,Yes,1.2,-8.17,50.91,-25.61,1,5,Drought,Yes,Sapling
DC10,2013,yes,5.3999999999999995,11.666666666666666,8.6,DC,Yes,1.19,-7.83,51.14,-25.810000000000002,1,5,Drought,Yes,Sapling
DC10,2012,yes,6.466666666666666,3.3333333333333335,8.6,DC,Yes,1.13,-7.6,50.72,-27.59,1,5,Drought,Yes,Sapling
DC11,2017,yes,4.433333333333334,12.666666666666666,14.3,DC,No,0.8,-7.01,51.12,-26.800000000000004,1,6,NoDrought,Yes,Sapling
DC11,2016,yes,5.133333333333333,7.666666666666667,14.3,DC,No,0.99,-6.45,51.26,-27.119999999999997,1,6,NoDrought,Yes,Sapling
DC11,2015,yes,5.900000000000001,9.333333333333334,14.3,DC,Yes,0.98,-6.37,51.34,-26.690000000000005,1,6,Drought,Yes,Sapling
DC11,2014,yes,5.033333333333333,6.666666666666667,14.3,DC,Yes,0.93,-5.64,51.62,-26.4,1,6,Drought,Yes,Sapling
DC11,2013,yes,5.233333333333333,4.666666666666667,14.3,DC,Yes,0.94,-5.06,51.37,-26.61,1,6,Drought,Yes,Sapling
DC11,2012,yes,NA,0,14.3,DC,Yes,NA,NA,NA,NA,1,6,Drought,Yes,Sapling
DC12,2017,yes,6.400000000000001,11,12.8,DC,No,0.92,-6.22,49,-27.35,0,2,NoDrought,Yes,Sapling
DC12,2016,yes,6.8999999999999995,12.333333333333334,12.8,DC,No,0.98,-6.33,49.53,-27.97,0,2,NoDrought,Yes,Sapling
DC12,2015,yes,6.7,9.666666666666666,12.8,DC,Yes,0.96,-6.88,49.33,-26.75,0,2,Drought,Yes,Sapling
DC12,2014,yes,5.3999999999999995,9.666666666666666,12.8,DC,Yes,0.93,-7.32,49.29,-25.950000000000003,0,2,Drought,Yes,Sapling
DC12,2013,yes,4.666666666666667,9.333333333333334,12.8,DC,Yes,0.9,-7.13,49.12,-26.39,0,2,Drought,Yes,Sapling
DC12,2012,yes,NA,0.6666666666666666,12.8,DC,Yes,0.92,-6.94,50.06,-27.85,0,2,Drought,Yes,Sapling
