treeid,year,wpbr,mean_length,mean_num,dbh,plot,drought,pern,n,perc,delta_c,mortality,pair,drought2,Rust,dbhclass
SB21,2013,no,9.409333333333334,20.666666666666668,22.8,SB,Yes,0.96,-4.27,51.95,-27.8,0,17,Drought,No,Pole
SB21,2012,no,9.954666666666666,16.666666666666668,22.8,SB,Yes,0.88,-4.48,51.63,-28.5,0,17,Drought,No,Pole
SB22,2017,yes,6.736,19.666666666666668,9.2,SB,No,1.04,-3.95,50.18,-27.56,0,18,NoDrought,Yes,Sapling
SB22,2016,yes,7.211333333333333,26.666666666666668,9.2,SB,No,1.21,-4.52,51.39,-27.5,0,18,NoDrought,Yes,Sapling
SB22,2015,yes,8.777000000000001,19.666666666666668,9.2,SB,Yes,1.09,-4.11,51.11,-28.25,0,18,Drought,Yes,Sapling
SB22,2014,yes,7.127,21,9.2,SB,Yes,1.1,-4.45,51.22,-27.65,0,18,Drought,Yes,Sapling
SB22,2013,yes,7.270333333333333,19,9.2,SB,Yes,1,-4.63,51.23,-27.550000000000004,0,18,Drought,Yes,Sapling
SB22,2012,yes,7.802,16.666666666666668,9.2,SB,Yes,0.97,-4.69,51.74,-27.65,0,18,Drought,Yes,Sapling
SB23,2017,no,6.617,11.333333333333334,11.3,SB,No,0.95,-4.33,50.08,-26.370000000000005,0,18,NoDrought,No,Sapling
SB23,2016,no,6.072333333333333,23,11.3,SB,No,1.09,-4.76,51.04,-26.82,0,18,NoDrought,No,Sapling
SB23,2015,no,7.957333333333334,17,11.3,SB,Yes,0.95,-4.82,51.05,-28.310000000000002,0,18,Drought,No,Sapling
SB23,2014,no,6.825666666666667,13,11.3,SB,Yes,1.03,-4.94,51.5,-26.96,0,18,Drought,No,Sapling
SB23,2013,no,6.900666666666666,18.666666666666668,11.3,SB,Yes,1.11,-5.05,52.19,-27.020000000000003,0,18,Drought,No,Sapling
SB23,2012,no,7.979333333333333,9.666666666666666,11.3,SB,Yes,0.87,-4.98,51.06,-26.97,0,18,Drought,No,Sapling
