plot,domsp,species,tree_id,slope,south,elevation,era95_ribes,density95,era95_dbh,vpd95,era95_inc_tot,era95_status,inc_tot,vpd00,ribes,density00,dbh,status
2,PIMO,PIAL,94,17,1,2965.704,FALSE,100,11.7,8.098425925925927,0,1,0,9.330394736842106,FALSE,104,13.2,1
2,PIMO,PIAL,95,17,1,2965.704,FALSE,100,24.9,8.098425925925927,0,1,0,9.330394736842106,FALSE,104,26,1
2,PIMO,PIMO,96,17,1,2965.704,FALSE,100,51.3,8.098425925925927,0,1,0,9.330394736842106,FALSE,104,58.7,1
2,PIMO,PIMO,97,17,1,2965.704,FALSE,100,5.6,8.098425925925927,0,1,0,9.330394736842106,FALSE,104,6.7,1
2,PIMO,PIMO,98,17,1,2965.704,FALSE,100,0.8,8.098425925925927,0,1,0,9.330394736842106,FALSE,104,0.8,1
2,PIMO,PIMO,99,17,1,2965.704,FALSE,100,41.7,8.098425925925927,0,1,0,9.330394736842106,FALSE,104,47.2,1
2,PIMO,PIMO,100,17,1,2965.704,FALSE,100,49.8,8.098425925925927,0,1,0,9.330394736842106,FALSE,104,54.7,1
3,PIBA,PIBA,101,11,1,3232.0992,FALSE,171.6443529,7.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,12.3,1
3,PIBA,PIBA,102,11,1,3232.0992,FALSE,171.6443529,21.6,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,27.7,1
3,PIBA,PIBA,103,11,1,3232.0992,FALSE,171.6443529,86.6,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,86.5,1
3,PIBA,PIBA,104,11,1,3232.0992,FALSE,171.6443529,0,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,1.3,1
3,PIBA,PIBA,105,11,1,3232.0992,FALSE,171.6443529,9.4,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,9.3,2
3,PIBA,PIBA,106,11,1,3232.0992,FALSE,171.6443529,86.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,89.2,1
3,PIBA,PIBA,107,11,1,3232.0992,FALSE,171.6443529,71.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,74.1,1
3,PIBA,PIBA,108,11,1,3232.0992,FALSE,171.6443529,65.5,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,66.2,1
3,PIBA,PIBA,109,11,1,3232.0992,FALSE,171.6443529,14,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,94.5,1
3,PIBA,PIBA,110,11,1,3232.0992,FALSE,171.6443529,1.3,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,2.2,1
3,PIBA,PIBA,111,11,1,3232.0992,FALSE,171.6443529,66.6,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,70.8,1
3,PIBA,PIBA,112,11,1,3232.0992,FALSE,171.6443529,48,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,49.2,1
3,PIBA,PIBA,113,11,1,3232.0992,FALSE,171.6443529,52.8,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,53.7,1
3,PIBA,PIBA,114,11,1,3232.0992,FALSE,171.6443529,7.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,59.5,1
3,PIBA,PIBA,115,11,1,3232.0992,FALSE,171.6443529,91.4,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,92.9,1
3,PIBA,PIBA,116,11,1,3232.0992,FALSE,171.6443529,74.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,76.4,1
3,PIBA,PIBA,117,11,1,3232.0992,FALSE,171.6443529,55.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,55,1
3,PIBA,PIBA,118,11,1,3232.0992,FALSE,171.6443529,59.7,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,61.1,1
3,PIBA,PIBA,119,11,1,3232.0992,FALSE,171.6443529,54.4,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,54.8,1
3,PIBA,PIBA,121,11,1,3232.0992,FALSE,171.6443529,52.6,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,53.2,1
3,PIBA,PIBA,122,11,1,3232.0992,FALSE,171.6443529,61.7,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,62,1
3,PIBA,PIBA,123,11,1,3232.0992,FALSE,171.6443529,86.4,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,87.3,1
3,PIBA,PIBA,124,11,1,3232.0992,FALSE,171.6443529,84.1,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,84.6,1
3,PIBA,PIBA,125,11,1,3232.0992,FALSE,171.6443529,58.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,59.9,1
10,PILA,PILA,430,5,0,1823.9232000000002,TRUE,105.4945055,46,12.303174603174604,0,1,0,13.795909090909092,TRUE,85.71428571,51.9,2
10,PILA,PILA,431,5,0,1823.9232000000002,TRUE,105.4945055,30,12.303174603174604,1,1,0,13.795909090909092,TRUE,85.71428571,42.9,1
10,PILA,PILA,432,5,0,1823.9232000000002,TRUE,105.4945055,5.6,12.303174603174604,0,1,0,13.795909090909092,TRUE,85.71428571,10.4,1
10,PILA,PILA,433,5,0,1823.9232000000002,TRUE,105.4945055,8.1,12.303174603174604,1,1,0,13.795909090909092,TRUE,85.71428571,11.5,1
10,PILA,PILA,434,5,0,1823.9232000000002,TRUE,105.4945055,15.8,12.303174603174604,0,1,0,13.795909090909092,TRUE,85.71428571,21.2,2
10,PILA,PILA,435,5,0,1823.9232000000002,TRUE,105.4945055,36.3,12.303174603174604,0,1,0,13.795909090909092,TRUE,85.71428571,53.2,2
10,PILA,PILA,436,5,0,1823.9232000000002,TRUE,105.4945055,15,12.303174603174604,0,1,0,13.795909090909092,TRUE,85.71428571,17.3,2
10,PILA,PILA,437,5,0,1823.9232000000002,TRUE,105.4945055,37.3,12.303174603174604,0,1,0,13.795909090909092,TRUE,85.71428571,51.3,2
10,PILA,PILA,438,5,0,1823.9232000000002,TRUE,105.4945055,35.6,12.303174603174604,1,1,0,13.795909090909092,TRUE,85.71428571,44.7,2
10,PILA,PILA,439,5,0,1823.9232000000002,TRUE,105.4945055,66.6,12.303174603174604,1,1,0,13.795909090909092,TRUE,85.71428571,83.7,2
3,PIBA,PIBA,126,11,1,3232.0992,FALSE,171.6443529,53.3,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,55.9,1
3,PIBA,PIBA,127,11,1,3232.0992,FALSE,171.6443529,18,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,21.1,1
3,PIBA,PIBA,128,11,1,3232.0992,FALSE,171.6443529,70.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,71.8,1
3,PIBA,PIBA,129,11,1,3232.0992,FALSE,171.6443529,71.6,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,72.9,1
3,PIBA,PIBA,130,11,1,3232.0992,FALSE,171.6443529,76.4,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,76.6,1
3,PIBA,PIBA,131,11,1,3232.0992,FALSE,171.6443529,66.8,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,69,1
3,PIBA,PIBA,132,11,1,3232.0992,FALSE,171.6443529,39.6,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,39.3,1
3,PIBA,PIBA,133,11,1,3232.0992,FALSE,171.6443529,67.8,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,68.5,1
3,PIBA,PIBA,134,11,1,3232.0992,FALSE,171.6443529,21.6,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,24.8,1
3,PIBA,PIBA,135,11,1,3232.0992,FALSE,171.6443529,57.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,58,1
3,PIBA,PIBA,136,11,1,3232.0992,FALSE,171.6443529,5.3,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,9.5,1
3,PIBA,PIBA,137,11,1,3232.0992,FALSE,171.6443529,74.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,76.3,1
3,PIBA,PIBA,138,11,1,3232.0992,FALSE,171.6443529,53.1,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,53.9,1
3,PIBA,PIBA,139,11,1,3232.0992,FALSE,171.6443529,51.6,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,53.4,1
3,PIBA,PIBA,140,11,1,3232.0992,FALSE,171.6443529,0,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,1.3,1
3,PIBA,PIBA,141,11,1,3232.0992,FALSE,171.6443529,93,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,93.3,1
3,PIBA,PIBA,142,11,1,3232.0992,FALSE,171.6443529,31.2,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,32.1,1
3,PIBA,PIBA,143,11,1,3232.0992,FALSE,171.6443529,3,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,12.1,1
3,PIBA,PIBA,144,11,1,3232.0992,FALSE,171.6443529,105.9,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,107.4,1
3,PIBA,PIBA,145,11,1,3232.0992,FALSE,171.6443529,85.1,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,85.9,1
3,PIBA,PIBA,146,11,1,3232.0992,FALSE,171.6443529,23.1,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,28.7,1
3,PIBA,PIBA,147,11,1,3232.0992,FALSE,171.6443529,7.6,8.170595238095238,0,1,0,9.262045454545454,FALSE,168.2114658,9.7,1
