idshort
bcc-csm1-1_r1i1p1_rcp45
bcc-csm1-1_r1i1p1_rcp85
bcc-csm1-1-m_r1i1p1_rcp45
bcc-csm1-1-m_r1i1p1_rcp85
BNU-ESM_r1i1p1_rcp45
BNU-ESM_r1i1p1_rcp85
CanESM2_r1i1p1_rcp45
CanESM2_r1i1p1_rcp85
CCSM4_r6i1p1_rcp45
CCSM4_r6i1p1_rcp85
CNRM-CM5_r1i1p1_rcp45
CNRM-CM5_r1i1p1_rcp85
CSIRO-Mk3-6-0_r1i1p1_rcp45
CSIRO-Mk3-6-0_r1i1p1_rcp85
GFDL-ESM2G_r1i1p1_rcp45
GFDL-ESM2G_r1i1p1_rcp85
GFDL-ESM2M_r1i1p1_rcp45
GFDL-ESM2M_r1i1p1_rcp85
HadGEM2-CC365_r1i1p1_rcp45
HadGEM2-CC365_r1i1p1_rcp85
HadGEM2-ES365_r1i1p1_rcp45
HadGEM2-ES365_r1i1p1_rcp85
inmcm4_r1i1p1_rcp45
inmcm4_r1i1p1_rcp85
IPSL-CM5A-LR_r1i1p1_rcp45
IPSL-CM5A-LR_r1i1p1_rcp85
IPSL-CM5A-MR_r1i1p1_rcp45
IPSL-CM5A-MR_r1i1p1_rcp85
IPSL-CM5B-LR_r1i1p1_rcp45
IPSL-CM5B-LR_r1i1p1_rcp85
MIROC-ESM_r1i1p1_rcp45
MIROC-ESM_r1i1p1_rcp85
MIROC-ESM-CHEM_r1i1p1_rcp45
MIROC-ESM-CHEM_r1i1p1_rcp85
MIROC5_r1i1p1_rcp45
MIROC5_r1i1p1_rcp85
MRI-CGCM3_r1i1p1_rcp45
MRI-CGCM3_r1i1p1_rcp85
NorESM1-M_r1i1p1_rcp45
NorESM1-M_r1i1p1_rcp85
