"","elev_third","name","mean"
"108","Mid (2656-3132)","diff60",0.131243264310479
"109","High (3133-3486)","diff00",0.096321335832901
"110","High (3133-3486)","diff60",0.155841649198614
"111","Low (1387-2655)","diff00",-0.0293369164335882
"112","Low (1387-2655)","diff60",-0.100589766896089
"113","Mid (2656-3132)","diff00",0.0683756592420603
"114","Mid (2656-3132)","diff60",0.0979350325423289
"115","High (3133-3486)","diff00",0.0926299530768102
"116","High (3133-3486)","diff60",0.149079634755585
"117","Low (1387-2655)","diff00",-0.0337895755824964
"118","Low (1387-2655)","diff60",-0.11005620922462
"119","Mid (2656-3132)","diff00",0.0647272065791952
"120","Mid (2656-3132)","diff60",0.0911550149408782
"121","High (3133-3486)","diff00",0.0974490768358492
"122","High (3133-3486)","diff60",0.140308185209425
"123","Low (1387-2655)","diff00",-0.0279369681572493
"124","Low (1387-2655)","diff60",-0.0718075765108279
"125","Mid (2656-3132)","diff00",0.0695873545421605
"126","Mid (2656-3132)","diff60",0.0928282028588437
"127","High (3133-3486)","diff00",0.0899135745429981
"128","High (3133-3486)","diff60",0.175183727599379
"129","Low (1387-2655)","diff00",-0.0363296507897153
"130","Low (1387-2655)","diff60",-0.309824500402319
"131","Mid (2656-3132)","diff00",0.0617846528544543
"132","Mid (2656-3132)","diff60",0.0660822809540382
"133","High (3133-3486)","diff00",0.085309855069868
"134","High (3133-3486)","diff60",0.122247245010655
"135","Low (1387-2655)","diff00",-0.041548410943058
"136","Low (1387-2655)","diff60",-0.0995978305728222
"137","Mid (2656-3132)","diff00",0.0570548135630817
"138","Mid (2656-3132)","diff60",0.0743293582434542
"139","High (3133-3486)","diff00",0.0858916796840261
"140","High (3133-3486)","diff60",0.149169916943794
"141","Low (1387-2655)","diff00",-0.0400956441323918
"142","Low (1387-2655)","diff60",-0.168139575064385
"143","Mid (2656-3132)","diff00",0.057695050797832
"144","Mid (2656-3132)","diff60",0.0781404305673687
"145","High (3133-3486)","diff00",0.100508220108813
"146","High (3133-3486)","diff60",0.152441651346127
"147","Low (1387-2655)","diff00",-0.0253298637073748
"148","Low (1387-2655)","diff60",-0.0756771865604031
"149","Mid (2656-3132)","diff00",0.0726592279611528
"150","Mid (2656-3132)","diff60",0.101132163211034
"151","High (3133-3486)","diff00",0.0867691435312158
"152","High (3133-3486)","diff60",0.129456324132048
"153","Low (1387-2655)","diff00",-0.0398515081492515
"154","Low (1387-2655)","diff60",-0.100970690127122
"155","Mid (2656-3132)","diff00",0.0586033897058247
"156","Mid (2656-3132)","diff60",0.0778318079651178
"157","High (3133-3486)","diff00",0.0933629717734899
"158","High (3133-3486)","diff60",0.145740372523827
"159","Low (1387-2655)","diff00",-0.0332118088563978
"160","Low (1387-2655)","diff60",-0.0976291351653743
"161","Mid (2656-3132)","diff00",0.0653500067884604
"162","Mid (2656-3132)","diff60",0.0912025508355976
"163","High (3133-3486)","diff00",0.0847773406818278
"164","High (3133-3486)","diff60",0.120485950647652
"165","Low (1387-2655)","diff00",-0.0418677290564483
"166","Low (1387-2655)","diff60",-0.0977712073501027
"167","Mid (2656-3132)","diff00",0.0565872711929347
"168","Mid (2656-3132)","diff60",0.0727963732296906
"169","High (3133-3486)","diff00",0.0948338062850089
"170","High (3133-3486)","diff60",0.153064958275226
"171","Low (1387-2655)","diff00",-0.0319229525768386
"172","Low (1387-2655)","diff60",-0.10648984808765
"173","Mid (2656-3132)","diff00",0.0668349647947678
"174","Mid (2656-3132)","diff60",0.0949434795942973
"175","High (3133-3486)","diff00",0.0846187068089398
"176","High (3133-3486)","diff60",0.120139269777589
"177","Low (1387-2655)","diff00",-0.0418112728054622
"178","Low (1387-2655)","diff60",-0.0945673175154776
"179","Mid (2656-3132)","diff00",0.0563754325096913
"180","Mid (2656-3132)","diff60",0.0722519909224183
"181","High (3133-3486)","diff00",0.083190818252726
"182","High (3133-3486)","diff60",0.154367587299307
"183","Low (1387-2655)","diff00",-0.043695010557951
"184","Low (1387-2655)","diff60",-0.259199799394254
"185","Mid (2656-3132)","diff00",0.0548865112001868
"186","Mid (2656-3132)","diff60",0.0600358638281932
"187","High (3133-3486)","diff00",0.0950004946485306
"188","High (3133-3486)","diff60",0.190435485715479
"189","Low (1387-2655)","diff00",-0.031551586234855
"190","Low (1387-2655)","diff60",-0.252264418484568
"191","Mid (2656-3132)","diff00",0.06691980509174
"192","Mid (2656-3132)","diff60",0.0915513821980353
"193","High (3133-3486)","diff00",0.0873931026405609
"194","High (3133-3486)","diff60",0.164875903354384
"195","Low (1387-2655)","diff00",-0.0390439722097562
"196","Low (1387-2655)","diff60",-0.243752066978316
"197","Mid (2656-3132)","diff00",0.0592266652220181
"198","Mid (2656-3132)","diff60",0.0736791666323815
"199","High (3133-3486)","diff00",0.0997400621934612
"200","High (3133-3486)","diff60",0.185549440166592
"201","Low (1387-2655)","diff00",-0.0263325826981261
"202","Low (1387-2655)","diff60",-0.153017896583963
"203","Mid (2656-3132)","diff00",0.0717990323943539
"204","Mid (2656-3132)","diff60",0.109409898219068
"205","High (3133-3486)","diff00",0.0898392011591412
"206","High (3133-3486)","diff60",0.135953544356597
"207","Low (1387-2655)","diff00",-0.0365220365921235
"208","Low (1387-2655)","diff60",-0.0861418060952495
"209","Mid (2656-3132)","diff00",0.0616697902552485
"210","Mid (2656-3132)","diff60",0.0831606633250311
"211","High (3133-3486)","diff00",0.0872112261963696
"212","High (3133-3486)","diff60",0.151918399236774
"213","Low (1387-2655)","diff00",-0.0401724601211552
"214","Low (1387-2655)","diff60",-0.170328884610894
"215","Mid (2656-3132)","diff00",0.0589546437946194
"216","Mid (2656-3132)","diff60",0.0804760815775981
"217","High (3133-3486)","diff00",0.0864317748539484
"218","High (3133-3486)","diff60",0.112080008912486
"219","Low (1387-2655)","diff00",-0.0402608577268933
"220","Low (1387-2655)","diff60",-0.0692295694698525
"221","Mid (2656-3132)","diff00",0.0582979921664668
"222","Mid (2656-3132)","diff60",0.0713760641863847
"223","High (3133-3486)","diff00",0.0876105971939914
"224","High (3133-3486)","diff60",0.134156046241811
"225","Low (1387-2655)","diff00",-0.0385984495226038
"226","Low (1387-2655)","diff60",-0.109147892227447
"227","Mid (2656-3132)","diff00",0.0594295430894946
"228","Mid (2656-3132)","diff60",0.0799790031401488
"229","High (3133-3486)","diff00",0.0931311784237746
"230","High (3133-3486)","diff60",0.145339304602102
"231","Low (1387-2655)","diff00",-0.0333798921908885
"232","Low (1387-2655)","diff60",-0.0979102177918739
"233","Mid (2656-3132)","diff00",0.0651281742700831
"234","Mid (2656-3132)","diff60",0.0908222646389849
"235","High (3133-3486)","diff00",0.0887373327547962
"236","High (3133-3486)","diff60",0.126717330419995
"237","Low (1387-2655)","diff00",-0.0378603319141338
"238","Low (1387-2655)","diff60",-0.0911239303228655
"239","Mid (2656-3132)","diff00",0.0605981693215397
"240","Mid (2656-3132)","diff60",0.0791589497967233
"241","High (3133-3486)","diff00",0.0938713671033514
"242","High (3133-3486)","diff60",0.183348275706887
"243","Low (1387-2655)","diff00",-0.0329278483227796
"244","Low (1387-2655)","diff60",-0.228797111057079
"245","Mid (2656-3132)","diff00",0.0658149707020075
"246","Mid (2656-3132)","diff60",0.0894686179838961
"247","High (3133-3486)","diff00",0.0913686381333308
"248","High (3133-3486)","diff60",0.131992146381589
"249","Low (1387-2655)","diff00",-0.0347717670333563
"250","Low (1387-2655)","diff60",-0.0881653276252919
"251","Mid (2656-3132)","diff00",0.0634312136991552
"252","Mid (2656-3132)","diff60",0.0847976564892568
"253","High (3133-3486)","diff00",0.0880899162823447
"254","High (3133-3486)","diff60",0.13593646372319
"255","Low (1387-2655)","diff00",-0.0388662759836118
"256","Low (1387-2655)","diff60",-0.12954302901296
"257","Mid (2656-3132)","diff00",0.0599036472265592
"258","Mid (2656-3132)","diff60",0.0802504444824149
"259","High (3133-3486)","diff00",0.0893865969374276
"260","High (3133-3486)","diff60",0.138324389646702
"261","Low (1387-2655)","diff00",-0.0375595780789385
"262","Low (1387-2655)","diff60",-0.127173002823372
"263","Mid (2656-3132)","diff00",0.0613008097535402
"264","Mid (2656-3132)","diff60",0.0829112136237382
"265","High (3133-3486)","diff00",0.0982574756246316
"266","High (3133-3486)","diff60",0.150296219508203
"267","Low (1387-2655)","diff00",-0.0279095995446937
"268","Low (1387-2655)","diff60",-0.0721850478014621
"269","Mid (2656-3132)","diff00",0.0703530280091423
"270","Mid (2656-3132)","diff60",0.0974544509539953
"271","High (3133-3486)","diff00",0.101689226622623
"272","High (3133-3486)","diff60",0.165772242573812
"273","Low (1387-2655)","diff00",-0.0242554480137755
"274","Low (1387-2655)","diff60",-0.0911014147872905
"275","Mid (2656-3132)","diff00",0.073793145838332
"276","Mid (2656-3132)","diff60",0.107870385694921
"277","High (3133-3486)","diff00",0.100675183621613
"278","High (3133-3486)","diff60",0.180983054778411
"279","Low (1387-2655)","diff00",-0.0260706051864845
"280","Low (1387-2655)","diff60",-0.137879775938954
"281","Mid (2656-3132)","diff00",0.0727313122319036
"282","Mid (2656-3132)","diff60",0.11051313305093
"283","High (3133-3486)","diff00",0.083363029851749
"284","High (3133-3486)","diff60",0.128037772369501
"285","Low (1387-2655)","diff00",-0.0433393235136794
"286","Low (1387-2655)","diff60",-0.115914949996431
"287","Mid (2656-3132)","diff00",0.0551687198406316
"288","Mid (2656-3132)","diff60",0.0731860763521541
"289","High (3133-3486)","diff00",0.0933690818386339
"290","High (3133-3486)","diff60",0.185581272220629
"291","Low (1387-2655)","diff00",-0.0328353248422064
"292","Low (1387-2655)","diff60",-0.298615143848625
"293","Mid (2656-3132)","diff00",0.0653372384196807
"294","Mid (2656-3132)","diff60",0.0768173297129022
"295","High (3133-3486)","diff00",0.085050441724843
"296","High (3133-3486)","diff60",0.120909494146367
"297","Low (1387-2655)","diff00",-0.0417233241737698
"298","Low (1387-2655)","diff60",-0.0975831832664789
"299","Mid (2656-3132)","diff00",0.0568484807256325
"300","Mid (2656-3132)","diff60",0.0731974002804783
"301","High (3133-3486)","diff00",0.087786238708487
"302","High (3133-3486)","diff60",0.153126670273419
"303","Low (1387-2655)","diff00",-0.0389178303046151
"304","Low (1387-2655)","diff60",-0.16715301991782
"305","Mid (2656-3132)","diff00",0.0595997584160119
"306","Mid (2656-3132)","diff60",0.0824310810689203
"307","High (3133-3486)","diff00",0.0933874821179086
"308","High (3133-3486)","diff60",0.140547905748099
"309","Low (1387-2655)","diff00",-0.0330930358738566
"310","Low (1387-2655)","diff60",-0.0894029233692338
"311","Mid (2656-3132)","diff00",0.0654043779909722
"312","Mid (2656-3132)","diff60",0.0890964192008009
"313","High (3133-3486)","diff00",0.0844359760939442
"314","High (3133-3486)","diff60",0.145833075396935
"315","Low (1387-2655)","diff00",-0.0429642938997038
"316","Low (1387-2655)","diff60",-0.177422951174413
"317","Mid (2656-3132)","diff00",0.0561465580962738
"318","Mid (2656-3132)","diff60",0.0748622558019927
"319","High (3133-3486)","diff00",0.0870745041985986
"320","High (3133-3486)","diff60",0.164707762968751
"321","Low (1387-2655)","diff00",-0.0400423417964085
"322","Low (1387-2655)","diff60",-0.248929811393685
"323","Mid (2656-3132)","diff00",0.058772725169554
"324","Mid (2656-3132)","diff60",0.0703058578404023
"325","High (3133-3486)","diff00",0.0978769680605852
"326","High (3133-3486)","diff60",0.181305993296012
"327","Low (1387-2655)","diff00",-0.028519883393298
"328","Low (1387-2655)","diff60",-0.159168016156462
"329","Mid (2656-3132)","diff00",0.0699346125895207
"330","Mid (2656-3132)","diff60",0.105108642931842
"331","High (3133-3486)","diff00",0.0927260326201419
"332","High (3133-3486)","diff60",0.131154944833438
"333","Low (1387-2655)","diff00",-0.0339235569848533
"334","Low (1387-2655)","diff60",-0.0764512520072263
"335","Mid (2656-3132)","diff00",0.0646203646863718
"336","Mid (2656-3132)","diff60",0.0842801085608683
"337","High (3133-3486)","diff00",0.0905761326344451
"338","High (3133-3486)","diff60",0.140750248472098
"339","Low (1387-2655)","diff00",-0.0356474067191481
"340","Low (1387-2655)","diff60",-0.101568684783321
"341","Mid (2656-3132)","diff00",0.0624353639954731
"342","Mid (2656-3132)","diff60",0.0860574989920907
"343","High (3133-3486)","diff00",0.0884041857261546
"344","High (3133-3486)","diff60",0.167339032779555
"345","Low (1387-2655)","diff00",-0.0389319793903968
"346","Low (1387-2655)","diff60",-0.245644622826845
"347","Mid (2656-3132)","diff00",0.0601800354316834
"348","Mid (2656-3132)","diff60",0.0756811857657188
"349","High (3133-3486)","diff00",0.0921422991272124
"350","High (3133-3486)","diff60",0.17881877467651
"351","Low (1387-2655)","diff00",-0.0344114791273195
"352","Low (1387-2655)","diff60",-0.232788730041049
"353","Mid (2656-3132)","diff00",0.0641157409811227
"354","Mid (2656-3132)","diff60",0.0850760392978894
"355","High (3133-3486)","diff00",0.0885985890148952
"356","High (3133-3486)","diff60",0.172615718619001
"357","Low (1387-2655)","diff00",-0.0383670266357941
"358","Low (1387-2655)","diff60",-0.276163235598105
"359","Mid (2656-3132)","diff00",0.0605422277872352
"360","Mid (2656-3132)","diff60",0.0737556753078835
"361","High (3133-3486)","diff00",0.0950251003946324
"362","High (3133-3486)","diff60",0.174802098254828
"363","Low (1387-2655)","diff00",-0.031533813917738
"364","Low (1387-2655)","diff60",-0.167024377062732
"365","Mid (2656-3132)","diff00",0.0670703380513942
"366","Mid (2656-3132)","diff60",0.0985910674605543
"367","High (3133-3486)","diff00",0.0886172952734681
"368","High (3133-3486)","diff60",0.126501517630335
"369","Low (1387-2655)","diff00",-0.0385615437691283
"370","Low (1387-2655)","diff60",-0.0925143734218049
"371","Mid (2656-3132)","diff00",0.0604096125278479
"372","Mid (2656-3132)","diff60",0.0788014486559946
"373","High (3133-3486)","diff00",0.102726009468517
"374","High (3133-3486)","diff60",0.213632730717832
"375","Low (1387-2655)","diff00",-0.0235171546332112
"376","Low (1387-2655)","diff60",-0.268969122827336
"377","Mid (2656-3132)","diff00",0.0749242294327236
"378","Mid (2656-3132)","diff60",0.105651305542517
"379","High (3133-3486)","diff00",0.0839208404032481
"380","High (3133-3486)","diff60",0.144802406619945
"381","Low (1387-2655)","diff00",-0.0421770228871106
"382","Low (1387-2655)","diff60",-0.173639650555975
"383","Mid (2656-3132)","diff00",0.0556829938218811
"384","Mid (2656-3132)","diff60",0.0742031504689508
"385","High (3133-3486)","diff00",0.0799090337848606
"386","High (3133-3486)","diff60",0.111481261313007
"387","Low (1387-2655)","diff00",-0.0469982740552628
"388","Low (1387-2655)","diff60",-0.0969828096514904
"389","Mid (2656-3132)","diff00",0.0515911645407042
"390","Mid (2656-3132)","diff60",0.0645061766928736
"391","High (3133-3486)","diff00",0.0882196917057455
"392","High (3133-3486)","diff60",0.135229418890089
"393","Low (1387-2655)","diff00",-0.0386723547771346
"394","Low (1387-2655)","diff60",-0.10985098036949
"395","Mid (2656-3132)","diff00",0.0600525262017963
"396","Mid (2656-3132)","diff60",0.0809981898202038
"397","High (3133-3486)","diff00",0.0993334512846349
"398","High (3133-3486)","diff60",0.150506414924889
"399","Low (1387-2655)","diff00",-0.0266835190232165
"400","Low (1387-2655)","diff60",-0.0781967781721637
"401","Mid (2656-3132)","diff00",0.0715090578490521
"402","Mid (2656-3132)","diff60",0.0992323669556563
"403","High (3133-3486)","diff00",0.0903284001517229
"404","High (3133-3486)","diff60",0.140029077839753
"405","Low (1387-2655)","diff00",-0.0364558823064066
"406","Low (1387-2655)","diff60",-0.124866050100174
"407","Mid (2656-3132)","diff00",0.0622773371657837
"408","Mid (2656-3132)","diff60",0.0847781611262982
"409","High (3133-3486)","diff00",0.0957812950219317
"410","High (3133-3486)","diff60",0.149824908568314
"411","Low (1387-2655)","diff00",-0.0302327633243469
"412","Low (1387-2655)","diff60",-0.111739141073495
"413","Mid (2656-3132)","diff00",0.0678334937224953
"414","Mid (2656-3132)","diff60",0.0953352535785513
"415","High (3133-3486)","diff00",0.0928554653584972
"416","High (3133-3486)","diff60",0.133760898223663
"417","Low (1387-2655)","diff00",-0.0336854988489838
"418","Low (1387-2655)","diff60",-0.0785593092628176
"419","Mid (2656-3132)","diff00",0.0649032354988777
"420","Mid (2656-3132)","diff60",0.0861759364887833
"421","High (3133-3486)","diff00",0.0913342996374762
"422","High (3133-3486)","diff60",0.166266308663491
"423","Low (1387-2655)","diff00",-0.0351401283796478
"424","Low (1387-2655)","diff60",-0.175362182320196
"425","Mid (2656-3132)","diff00",0.0632744618698439
"426","Mid (2656-3132)","diff60",0.0899874681872089
"427","High (3133-3486)","diff00",0.0936309225815479
"428","High (3133-3486)","diff60",0.18120359061184
"429","Low (1387-2655)","diff00",-0.0330029189356863
"430","Low (1387-2655)","diff60",-0.226564753598987
"431","Mid (2656-3132)","diff00",0.0654973399168757
"432","Mid (2656-3132)","diff60",0.0899526264712217
"433","High (3133-3486)","diff00",0.095228851766797
"434","High (3133-3486)","diff60",0.137448450356649
"435","Low (1387-2655)","diff00",-0.0312767751837254
"436","Low (1387-2655)","diff60",-0.0745595341253106
"437","Mid (2656-3132)","diff00",0.0671985907640548
"438","Mid (2656-3132)","diff60",0.0897531464480481
"439","High (3133-3486)","diff00",0.100318184610368
"440","High (3133-3486)","diff60",0.187013297553976
"441","Low (1387-2655)","diff00",-0.0254757499430804
"442","Low (1387-2655)","diff60",-0.150903661530007
"443","Mid (2656-3132)","diff00",0.072480858308857
"444","Mid (2656-3132)","diff60",0.111089535591448
"445","High (3133-3486)","diff00",0.107528110090635
"446","High (3133-3486)","diff60",0.1709289401005
"447","Low (1387-2655)","diff00",-0.0178362875241109
"448","Low (1387-2655)","diff60",-0.0865537479977145
"449","Mid (2656-3132)","diff00",0.0798003188722195
"450","Mid (2656-3132)","diff60",0.117920282939096
"451","High (3133-3486)","diff00",0.09026948699504
"452","High (3133-3486)","diff60",0.147275378427531
"453","Low (1387-2655)","diff00",-0.0361008131297545
"454","Low (1387-2655)","diff60",-0.128263771720875
"455","Mid (2656-3132)","diff00",0.0621337330857808
"456","Mid (2656-3132)","diff60",0.0863558452885356
"457","High (3133-3486)","diff00",0.101146121098766
"458","High (3133-3486)","diff60",0.155157782437582
"459","Low (1387-2655)","diff00",-0.0250031501986236
"460","Low (1387-2655)","diff60",-0.0673546576003489
"461","Mid (2656-3132)","diff00",0.0732308075738596
"462","Mid (2656-3132)","diff60",0.102158042970217
"463","High (3133-3486)","diff00",0.0907156002496451
"464","High (3133-3486)","diff60",0.130857975498139
"465","Low (1387-2655)","diff00",-0.0364254711160104
"466","Low (1387-2655)","diff60",-0.0912082122224458
"467","Mid (2656-3132)","diff00",0.0625578793886141
"468","Mid (2656-3132)","diff60",0.0832433880088113
"469","High (3133-3486)","diff00",0.0953105777612092
"470","High (3133-3486)","diff60",0.137581045562117
"471","Low (1387-2655)","diff00",-0.0310916263232061
"472","Low (1387-2655)","diff60",-0.074226482764521
"473","Mid (2656-3132)","diff00",0.0672916152749342
"474","Mid (2656-3132)","diff60",0.0899084427996517
"475","High (3133-3486)","diff00",0.0927903981310836
"476","High (3133-3486)","diff60",0.180448321480798
"477","Low (1387-2655)","diff00",-0.0341077356139657
"478","Low (1387-2655)","diff60",-0.232611003765537
"479","Mid (2656-3132)","diff00",0.0647291758163502
"480","Mid (2656-3132)","diff60",0.0865081618000658
"481","High (3133-3486)","diff00",0.0853352944078472
"482","High (3133-3486)","diff60",0.16016935584308
"483","Low (1387-2655)","diff00",-0.0414255340207725
"484","Low (1387-2655)","diff60",-0.252319902627712
"485","Mid (2656-3132)","diff00",0.0570677837884628
"486","Mid (2656-3132)","diff60",0.0659606530299119
"487","High (3133-3486)","diff00",0.0960334996476114
"488","High (3133-3486)","diff60",0.136242102982575
"489","Low (1387-2655)","diff00",-0.0301301735395345
"490","Low (1387-2655)","diff60",-0.0703421932966007
"491","Mid (2656-3132)","diff00",0.0680165851731134
"492","Mid (2656-3132)","diff60",0.0894650275126534
"493","High (3133-3486)","diff00",0.0969357341958853
"494","High (3133-3486)","diff60",0.150590564290578
"495","Low (1387-2655)","diff00",-0.0288934803055392
"496","Low (1387-2655)","diff60",-0.0916672005375166
"497","Mid (2656-3132)","diff00",0.0691003139100408
"498","Mid (2656-3132)","diff60",0.0969892725618022
"499","High (3133-3486)","diff00",0.0906485601822057
"500","High (3133-3486)","diff60",0.12972465587438
"501","Low (1387-2655)","diff00",-0.0360560793067341
"502","Low (1387-2655)","diff60",-0.0882003158280629
"503","Mid (2656-3132)","diff00",0.0625311871187205
"504","Mid (2656-3132)","diff60",0.0822157188784504
"505","High (3133-3486)","diff00",0.0855791041726986
"506","High (3133-3486)","diff60",0.162264218254747
"507","Low (1387-2655)","diff00",-0.0413445773315411
"508","Low (1387-2655)","diff60",-0.3304530018935
"509","Mid (2656-3132)","diff00",0.0574219477508312
"510","Mid (2656-3132)","diff60",0.052405403328802
"511","High (3133-3486)","diff00",0.0986220158042586
"512","High (3133-3486)","diff60",0.176846322202565
"513","Low (1387-2655)","diff00",-0.0274262258406155
"514","Low (1387-2655)","diff60",-0.13955544504069
"515","Mid (2656-3132)","diff00",0.0707118828184521
"516","Mid (2656-3132)","diff60",0.106175048760828
"517","High (3133-3486)","diff00",0.0905993884790582
"518","High (3133-3486)","diff60",0.164568977912834
"519","Low (1387-2655)","diff00",-0.0359632315320233
"520","Low (1387-2655)","diff60",-0.177510552960007
"521","Mid (2656-3132)","diff00",0.0625216583968172
"522","Mid (2656-3132)","diff60",0.0882527940923848
"523","High (3133-3486)","diff00",0.099054409443245
"524","High (3133-3486)","diff60",0.151688962866563
"525","Low (1387-2655)","diff00",-0.0273303163136819
"526","Low (1387-2655)","diff60",-0.0714580635273881
"527","Mid (2656-3132)","diff00",0.0712298474852116
"528","Mid (2656-3132)","diff60",0.0988971700792321
"529","High (3133-3486)","diff00",0.0822624123134146
"530","High (3133-3486)","diff60",0.117401499858425
"531","Low (1387-2655)","diff00",-0.0449624113913238
"532","Low (1387-2655)","diff60",-0.105537469488895
"533","Mid (2656-3132)","diff00",0.0539605012413426
"534","Mid (2656-3132)","diff60",0.0692811970085164
"535","High (3133-3486)","diff00",0.0835031318087002
"536","High (3133-3486)","diff60",0.143733007638851
"537","Low (1387-2655)","diff00",-0.0441612686121438
