plot,vpd20,idshort,vpd_hpa,perchange,vpd2,vpd_final
1,6.9616666585206985,bcc-csm1-1_r1i1p1_rcp45,7.658333346247673,0.10007182502401098,0.7663833946012456,8.424716740848918
2,5.455000000695388,bcc-csm1-1_r1i1p1_rcp45,6.015000015497208,0.10265811452436895,0.6174885604549933,6.632488575952201
3,5.409999988973141,bcc-csm1-1_r1i1p1_rcp45,5.995000007251898,0.10813309047525425,0.6482578781833194,6.643257885435217
4,6.401666688422361,bcc-csm1-1_r1i1p1_rcp45,7.053333334624767,0.10179640364297127,0.7180039671598873,7.771337301784655
5,6.330000005662441,bcc-csm1-1_r1i1p1_rcp45,6.984999969601631,0.10347550763874659,0.7227764177111583,7.70777638731279
6,6.7933332969745,bcc-csm1-1_r1i1p1_rcp45,7.483333341777325,0.10157017396895947,0.7600834693920376,8.243416811169363
7,7.9199999918540325,bcc-csm1-1_r1i1p1_rcp45,8.69500001768271,0.09785353871537752,0.8508365208605234,9.545836538543234
8,5.223333306610584,bcc-csm1-1_r1i1p1_rcp45,5.791666614512603,0.10880663257363705,0.6301717413142732,6.421838355826876
9,6.174999974668026,bcc-csm1-1_r1i1p1_rcp45,6.8100000222524,0.10283401622499808,0.7002996527805406,7.510299675032941
10,8.524999991059303,bcc-csm1-1_r1i1p1_rcp45,9.295000006755194,0.09032258258104835,0.8395484057009909,10.134548412456185
11,4.7033333356181775,bcc-csm1-1_r1i1p1_rcp45,5.256666672726472,0.11764705956899134,0.6184313771805827,5.875098049907055
12,5.129999992748101,bcc-csm1-1_r1i1p1_rcp45,5.6983333081007,0.11078622147290636,0.6312968158976834,6.329630123998384
13,5.799999984602133,bcc-csm1-1_r1i1p1_rcp45,6.401666653652986,0.10373563287037246,0.664080941741852,7.065747595394837
14,5.799999984602133,bcc-csm1-1_r1i1p1_rcp45,6.401666653652986,0.10373563287037246,0.664080941741852,7.065747595394837
15,4.7150000010927515,bcc-csm1-1_r1i1p1_rcp45,5.246666669845581,0.11276069324063841,0.5916177708943394,5.838284440739921
16,5.055000002185503,bcc-csm1-1_r1i1p1_rcp45,5.606666659315427,0.10913286981036865,0.611871622601205,6.218538281916632
17,5.669999984403451,bcc-csm1-1_r1i1p1_rcp45,6.231666666766008,0.09905937987787333,0.6173050356154547,6.848971702381463
18,6.341666720807552,bcc-csm1-1_r1i1p1_rcp45,6.946666682759921,0.09540078162217386,0.6627174312040102,7.609384113963931
19,5.259999963144462,bcc-csm1-1_r1i1p1_rcp45,5.788333316644033,0.10044360403069864,0.5814010596546939,6.3697343762987275
20,5.644999988377094,bcc-csm1-1_r1i1p1_rcp45,6.248333364725113,0.10687925200890454,0.6678171963241017,6.916150561049214
21,5.929999994734923,bcc-csm1-1_r1i1p1_rcp45,6.544999952117601,0.10370994231512966,0.6787815674866429,7.223781519604245
22,5.929999994734923,bcc-csm1-1_r1i1p1_rcp45,6.544999952117601,0.10370994231512966,0.6787815674866429,7.223781519604245
23,6.73833329975605,bcc-csm1-1_r1i1p1_rcp45,7.429999984800816,0.10264655283077287,0.7626638859724986,8.192663870773314
24,5.480000026524067,bcc-csm1-1_r1i1p1_rcp45,6.064999975264072,0.10675181494680898,0.6474497550117913,6.712449730275864
25,5.028333318730195,bcc-csm1-1_r1i1p1_rcp45,5.599999997764826,0.11368909791743753,0.6366589480835353,6.236658945848361
26,5.028333318730195,bcc-csm1-1_r1i1p1_rcp45,5.599999997764826,0.11368909791743753,0.6366589480835353,6.236658945848361
27,6.7933332969745,bcc-csm1-1_r1i1p1_rcp45,7.483333341777325,0.10157017396895947,0.7600834693920376,8.243416811169363
28,6.381666695078215,bcc-csm1-1_r1i1p1_rcp45,7.03833335886399,0.10289892831479613,0.724236959749384,7.762570318613374
29,5.135000007847945,bcc-csm1-1_r1i1p1_rcp45,5.6999999682108555,0.11002920340786897,0.6271664559271188,6.327166424137975
30,5.513333352903525,bcc-csm1-1_r1i1p1_rcp45,6.093333313862482,0.10519950886944054,0.6410156719961337,6.734348985858616
31,5.135000007847945,bcc-csm1-1_r1i1p1_rcp45,5.6999999682108555,0.11002920340786897,0.6271664559271188,6.327166424137975
32,5.418333314359188,bcc-csm1-1_r1i1p1_rcp45,5.998333307603994,0.10704398559382487,0.6420855041661219,6.640418811770116
33,4.473333338896434,bcc-csm1-1_r1i1p1_rcp45,5.003333352506161,0.11847988367003236,0.5927943535673229,5.596127706073483
34,4.400000018378099,bcc-csm1-1_r1i1p1_rcp45,4.856666674216588,0.10378787589342381,0.5040631180393186,5.360729792255906
35,8.50666665037473,bcc-csm1-1_r1i1p1_rcp45,9.298333341876665,0.09306426642062693,0.8653425713962083,10.163675913272874
36,10.249999995032946,bcc-csm1-1_r1i1p1_rcp45,11.160000026226044,0.08878049089112933,0.9907902806733643,12.150790306899408
37,9.195000002781551,bcc-csm1-1_r1i1p1_rcp45,10.051666639745235,0.09316657277917745,0.9364793315438545,10.98814597128909
38,6.9616666585206985,bcc-csm1-1_r1i1p1_rcp45,7.658333346247673,0.10007182502401098,0.7663833946012456,8.424716740848918
39,9.195000002781551,bcc-csm1-1_r1i1p1_rcp45,10.051666639745235,0.09316657277917745,0.9364793315438545,10.98814597128909
40,9.195000002781551,bcc-csm1-1_r1i1p1_rcp45,10.051666639745235,0.09316657277917745,0.9364793315438545,10.98814597128909
41,8.50666665037473,bcc-csm1-1_r1i1p1_rcp45,9.298333341876665,0.09306426642062693,0.8653425713962083,10.163675913272874
42,8.96499996383985,bcc-csm1-1_r1i1p1_rcp45,9.794999991854032,0.09258226785967337,0.9068433129313285,10.701843304785362
43,7.93166667719682,bcc-csm1-1_r1i1p1_rcp45,8.676666662096977,0.09392729362190647,0.8149758172301899,9.491642479327167
44,7.931666647394499,bcc-csm1-1_r1i1p1_rcp45,8.714999958872795,0.09876024123323643,0.8606954982859228,9.575695457158718
45,5.881666652858257,bcc-csm1-1_r1i1p1_rcp45,6.499999992549419,0.10512893303646792,0.6833380639537698,7.183338056503189
46,7.069999975462754,bcc-csm1-1_r1i1p1_rcp45,7.78166663646698,0.10066006555504194,0.7833030737542489,8.564969710221229
47,7.069999975462754,bcc-csm1-1_r1i1p1_rcp45,7.78166663646698,0.10066006555504194,0.7833030737542489,8.564969710221229
48,5.753333307802677,bcc-csm1-1_r1i1p1_rcp45,6.37333332747221,0.10776361919249282,0.6868134656885384,7.060146793160748
49,9.47333337366581,bcc-csm1-1_r1i1p1_rcp45,10.385000000397364,0.09623504111718753,0.9994009020402328,11.384400902437596
50,5.698333318034808,bcc-csm1-1_r1i1p1_rcp45,6.304999999701977,0.10646388124526043,0.6712547712196383,6.976254770921615
51,7.186666687329611,bcc-csm1-1_r1i1p1_rcp45,7.903333355983099,0.09972170685430577,0.7881338920972032,8.691467248080302
52,4.133333332836628,bcc-csm1-1_r1i1p1_rcp45,4.5800000081459675,0.1080645182329877,0.4949354943873737,5.074935502533341
53,4.236666679382324,bcc-csm1-1_r1i1p1_rcp45,4.698333313067754,0.10896930738783947,0.5119741270022062,5.21030744006996
54,5.329999985794226,bcc-csm1-1_r1i1p1_rcp45,5.859999991953373,0.09943714963822306,0.5827016960798534,6.442701688033226
55,5.329999985794226,bcc-csm1-1_r1i1p1_rcp45,5.859999991953373,0.09943714963822306,0.5827016960798534,6.442701688033226
56,4.863333324591318,bcc-csm1-1_r1i1p1_rcp45,5.358333341777325,0.10178204621160795,0.5453821318099793,5.903715473587304
57,5.720000006258488,bcc-csm1-1_r1i1p1_rcp45,6.295000024139881,0.10052447854060528,0.6328015948397592,6.9278016189796405
58,5.720000006258488,bcc-csm1-1_r1i1p1_rcp45,6.295000024139881,0.10052447854060528,0.6328015948397592,6.9278016189796405
59,5.751666657626629,bcc-csm1-1_r1i1p1_rcp45,6.3183332954843845,0.09852216263374089,0.6224958605118925,6.940829155996277
60,5.751666657626629,bcc-csm1-1_r1i1p1_rcp45,6.3183332954843845,0.09852216263374089,0.6224958605118925,6.940829155996277
61,8.524999991059303,bcc-csm1-1_r1i1p1_rcp45,9.295000006755194,0.09032258258104835,0.8395484057009909,10.134548412456185
62,6.179999984800816,bcc-csm1-1_r1i1p1_rcp45,6.77333332846562,0.09600863189709667,0.6502984662489923,7.423631794714613
63,4.8599999994039536,bcc-csm1-1_r1i1p1_rcp45,5.3616666694482165,0.10322359467197303,0.5534505070533503,5.915117176501567
64,4.690000019967556,bcc-csm1-1_r1i1p1_rcp45,5.148333335916201,0.09772565330432884,0.5031242386808653,5.651457574597066
65,5.073333293199539,bcc-csm1-1_r1i1p1_rcp45,5.57166668275992,0.09822603025674723,0.5472827001612863,6.1189493829212065
66,5.961666663487753,bcc-csm1-1_r1i1p1_rcp45,6.556666634976864,0.09980430055460669,0.6543835274735926,7.211050162450457
67,5.961666663487753,bcc-csm1-1_r1i1p1_rcp45,6.556666634976864,0.09980430055460669,0.6543835274735926,7.211050162450457
68,8.224999969204266,bcc-csm1-1_r1i1p1_rcp45,8.981666624546051,0.09199594628265872,0.8262769203204873,9.807943544866538
69,8.258333305517832,bcc-csm1-1_r1i1p1_rcp45,9.018333345651627,0.09202825945835805,0.82994152101559,9.848274866667216
70,7.8883333305517835,bcc-csm1-1_r1i1p1_rcp45,8.616666694482168,0.09233044971737245,0.7955807109662437,9.412247405448412
71,6.179999984800816,bcc-csm1-1_r1i1p1_rcp45,6.77333332846562,0.09600863189709667,0.6502984662489923,7.423631794714613
72,8.061666682362556,bcc-csm1-1_r1i1p1_rcp45,8.804999942580858,0.09220590350684905,0.811872975083422,9.61687291766428
73,5.881666652858257,bcc-csm1-1_r1i1p1_rcp45,6.499999992549419,0.10512893303646792,0.6833380639537698,7.183338056503189
74,5.713333293795586,bcc-csm1-1_r1i1p1_rcp45,6.306666639943917,0.10385064473530087,0.6549513966887894,6.961618036632707
75,7.031666681170464,bcc-csm1-1_r1i1p1_rcp45,7.725000003973643,0.09860156265082949,0.7616970718694652,8.486697075843109
76,4.931666647394498,bcc-csm1-1_r1i1p1_rcp45,5.436666657527288,0.10239946173158165,0.5567117393448315,5.99337839687212
